"Date","K .Madahalli","Singanallur"
2016-04-15,0.0900347381830215,0.0806673318147659
2016-04-16,0.0938627943396568,0.0822089090943336
2016-04-17,0.102271631360054,0.0656915381550789
2016-04-18,0.0951621383428574,0.0838668271899223
2016-04-19,0.0958895608782768,0.0846450701355934
2016-04-20,0.073190838098526,0.0566161386668682
2016-04-21,0.0960458964109421,0.0663776472210884
2016-04-22,0.104119814932346,0.0727304071187973
2016-04-23,0.150933027267456,0.0643950328230858
2016-04-24,0.132927760481834,0.0688062906265259
2016-04-25,0.105456106364727,0.0614938139915466
2016-04-26,0.146704569458961,0.172182962298393
2016-04-27,0.130171284079552,0.140192955732346
2016-04-28,0.0664658695459366,0.0774567946791649
2016-04-29,0.0727050825953484,0.0770945474505424
2016-04-30,0.0773407742381096,0.0772757902741432
2016-05-01,0.0849509388208389,0.0785262808203697
2016-05-02,0.0850615277886391,0.080835685133934
2016-05-03,0.131057813763618,0.171221122145653
2016-05-04,0.221897765994072,0.118090853095055
2016-05-05,0.207001477479935,0.128393694758415
2016-05-06,0.207785919308662,0.194782271981239
2016-05-07,0.192884787917137,0.198000952601433
2016-05-08,0.182569041848183,0.162624135613441
2016-05-09,0.203433766961098,0.198648646473885
2016-05-10,0.168853923678398,0.161871254444122
2016-05-11,0.210431426763535,0.202933892607689
2016-05-12,0.191786631941795,0.179922133684158
2016-05-13,0.193000718951225,0.180332347750664
2016-05-14,0.159961581230164,0.137515798211098
2016-05-15,0.206618338823318,0.176953688263893
2016-05-16,0.187767580151558,0.153101071715355
2016-05-17,0.251525700092316,0.244076818227768
2016-05-18,0.222310408949852,0.21695613861084
2016-05-19,0.220221728086472,0.20553283393383
2016-05-20,0.204298809170723,0.190052554011345
2016-05-21,0.186934143304825,0.167716592550278
2016-05-22,0.130232378840446,0.129219889640808
2016-05-23,0.13270291686058,0.121670246124268
2016-05-24,0.135487481951714,0.114263914525509
2016-05-25,0.11009006947279,0.0614991746842861
2016-05-26,0.119089297950268,0.0738834366202354
2016-05-27,0.121519207954407,0.0614318065345287
2016-05-28,0.13487383723259,0.173940196633339
2016-05-29,0.239493653178215,0.241833746433258
2016-05-30,0.225431531667709,0.210696741938591
2016-05-31,0.205237671732903,0.210761770606041
2016-06-01,0.217386573553085,0.210660338401794
2016-06-02,0.237042307853699,0.22187839448452
2016-06-03,0.215135157108307,0.190206214785576
2016-06-04,0.210855901241302,0.181583911180496
2016-06-05,0.199092894792557,0.200482338666916
